date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:03	7689/7689	---MCZ	200	added ('OK')	text/html	etag:W/%226d91670f489786fd91f19193bdb063bb%22	https://m.cloudcat.ai/home	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/home.html	(from )
15:30:05	24/24	---M--	200	added ('OK')	text/plain	etag:%22b6216d61c03e6ce0c9aea6ca7808f7ca%22	https://m.cloudcat.ai/robots.txt		(from )
15:30:06	67646/67646	---M--	200	added ('OK')	image/x-icon	etag:%229746e6699a08b52e60aaa275c1ba38ac%22	https://m.cloudcat.ai/favicon.ico	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/favicon.ico	(from https://m.cloudcat.ai/home)
15:30:06	1236/1236	---MCZ	200	added ('OK')	application/json	etag:W/%22ae48c60c5018dc191331f95c6d116b32%22	https://m.cloudcat.ai/manifest.json	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/manifest.json	(from https://m.cloudcat.ai/home)
15:30:07	101516/101516	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Mar%202022%2007:30:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	/storage/emulated/0/HTTrack/Websites/test/connect.facebook.net/en_US/fbevents.js	(from https://m.cloudcat.ai/home)
15:30:09	136790/136790	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2007:30:09%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	/storage/emulated/0/HTTrack/Websites/test/analytics.tiktok.com/i18n/pixel/events.js	(from https://m.cloudcat.ai/home)
15:30:10	16773/16773	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2007:30:10%20GMT	https://sc-static.net/scevent.min.js	/storage/emulated/0/HTTrack/Websites/test/sc-static.net/scevent.min.js	(from https://m.cloudcat.ai/home)
15:30:11	1453/1453	---MCZ	200	added ('OK')	text/css	etag:W/%22daa808741d89744723c4f67e369f36f7%22	https://m.cloudcat.ai/css/chunk-1e5539ad.6c5185cb.css	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/css/chunk-1e5539ad.6c5185cb.css	(from https://m.cloudcat.ai/home)
15:30:11	254450/254450	---MCZ	200	added ('OK')	text/css	etag:W/%2292070ed909a8e2c053bd02bff0502d1c%22	https://m.cloudcat.ai/css/chunk-65abd6e3.60a4960c.css	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/css/chunk-65abd6e3.60a4960c.css	(from https://m.cloudcat.ai/home)
15:30:12	6330/6330	---MCZ	200	added ('OK')	text/css	etag:W/%22967337bd346ec3a1b29afe1dd9df2f56%22	https://m.cloudcat.ai/css/chunk-69a21dea.f29931a9.css	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/css/chunk-69a21dea.f29931a9.css	(from https://m.cloudcat.ai/home)
15:30:13	10465/10465	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ec79bfe5ba242b22de239e0d401cdd8%22	https://m.cloudcat.ai/js/chunk-1e5539ad.production.1645521154838.js	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/js/chunk-1e5539ad.production.1645521154838.js	(from https://m.cloudcat.ai/home)
15:30:15	516446/516446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249e779fa5f36aa17ae6dfea22ac1858a%22	https://m.cloudcat.ai/js/chunk-65abd6e3.production.1645521154838.js	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/js/chunk-65abd6e3.production.1645521154838.js	(from https://m.cloudcat.ai/home)
15:30:16	7734/7734	---MCZ	200	added ('OK')	application/javascript	etag:W/%22894c4857d5cb72c200af6ecb39971a6c%22	https://m.cloudcat.ai/js/chunk-69a21dea.production.1645521154838.js	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/js/chunk-69a21dea.production.1645521154838.js	(from https://m.cloudcat.ai/home)
15:30:17	150400/150400	---MCZ	200	added ('OK')	text/css	etag:W/%22c59e4c35fea49a6895b65016084055d9%22	https://m.cloudcat.ai/css/app.8aadc730.css	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/css/app.8aadc730.css	(from https://m.cloudcat.ai/home)
15:30:21	165622/165622	---MCZ	200	added ('OK')	text/css	etag:W/%2279a98e2cf758547a97571bb80d964652%22	https://m.cloudcat.ai/css/chunk-vendors.a5ca4cb5.css	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/css/chunk-vendors.a5ca4cb5.css	(from https://m.cloudcat.ai/home)
15:30:21	399498/399498	---MCZ	200	added ('OK')	application/javascript	etag:W/%227258bda3bcda2825020767928ae9bfd1%22	https://m.cloudcat.ai/js/app.production.1645521154838.js	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/js/app.production.1645521154838.js	(from https://m.cloudcat.ai/home)
15:30:22	1461061/1461061	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285159b3ebdd98644af764f21ef413e75%22	https://m.cloudcat.ai/js/chunk-vendors.production.1645521154838.js	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/js/chunk-vendors.production.1645521154838.js	(from https://m.cloudcat.ai/home)
15:30:24	7689/7689	---MCZ	200	added ('OK')	text/html	etag:W/%226d91670f489786fd91f19193bdb063bb%22	https://m.cloudcat.ai/img/icons/favicon-32x32.png	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/img/icons/favicon-32x32.html	(from https://m.cloudcat.ai/home)
15:30:26	26349/26349	---M--	200	added ('OK')	image/png	etag:%22e21111d4649653a4ba368e9edce3cdf1%22	https://m.cloudcat.ai/img/icons/apple-touch-icon-152x152.png	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/img/icons/apple-touch-icon-152x152.png	(from https://m.cloudcat.ai/home)
15:30:26	7689/7689	---MCZ	200	added ('OK')	text/html	etag:W/%226d91670f489786fd91f19193bdb063bb%22	https://m.cloudcat.ai/img/icons/favicon-16x16.png	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/img/icons/favicon-16x16.html	(from https://m.cloudcat.ai/home)
15:30:30	3257/3257	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223681c6289c48aa62ac9d094e50d2dd26%22	https://m.cloudcat.ai/img/icons/safari-pinned-tab.svg	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/img/icons/safari-pinned-tab.svg	(from https://m.cloudcat.ai/home)
15:30:30	51318/51318	---M--	200	added ('OK')	image/jpeg	etag:%221a2b69238a4ff98f702b49a427c4d911%22	https://cloudcat.ai/Background/coc1.jpg	/storage/emulated/0/HTTrack/Websites/test/cloudcat.ai/Background/coc1.jpg	(from https://m.cloudcat.ai/home)
15:30:31	51401/51401	---M--	200	added ('OK')	image/jpeg	etag:%22f6d508cadb559fabf815e02e09df83ff%22	https://cloudcat.ai/Background/BrawlStars.jpg	/storage/emulated/0/HTTrack/Websites/test/cloudcat.ai/Background/BrawlStars.jpg	(from https://m.cloudcat.ai/home)
15:30:32	65415/65415	---M--	200	added ('OK')	image/jpeg	etag:%2290df54229b91d2e1ef3e19cdcc1c523c%22	https://cloudcat.ai/Background/hszz1.jpg	/storage/emulated/0/HTTrack/Websites/test/cloudcat.ai/Background/hszz1.jpg	(from https://m.cloudcat.ai/home)
15:30:33	56382/56382	---M--	200	added ('OK')	image/jpeg	etag:%228f5844e59450b7f4233ff9df3c1e6b5c%22	https://cloudcat.ai/Background/HayDay.jpg	/storage/emulated/0/HTTrack/Websites/test/cloudcat.ai/Background/HayDay.jpg	(from https://m.cloudcat.ai/home)
15:30:34	39895/39895	---M--	200	added ('OK')	image/jpeg	etag:%22843b9f06c1195c3c01c57b5ac53b29f9%22	https://cloudcat.ai/Background/Boom+beach.jpg	/storage/emulated/0/HTTrack/Websites/test/cloudcat.ai/Background/Boom+beach.jpg	(from https://m.cloudcat.ai/home)
15:30:38	7689/7689	---MCZ	200	added ('OK')	text/html	etag:W/%226d91670f489786fd91f19193bdb063bb%22	https://m.cloudcat.ai/c	/storage/emulated/0/HTTrack/Websites/test/m.cloudcat.ai/c.html	(from https://connect.facebook.net/en_US/fbevents.js)
